"commit","run","elapsed_s","cpu_s","working_set_bytes","private_bytes","threads","handles"
"95feb454864907a29bcf84f629278dc861e10336","2","1.0108122","0","131383296","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","2.0224222","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","3.0330734","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","4.0429614","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","5.0486369","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","6.0562966","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","7.0654618","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","8.0786183","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","9.0942189","0","131391488","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","10.1091531","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","11.127275","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","12.1345193","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","13.1416699","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","14.1532986","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","15.1658399","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","16.1782486","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","17.1953153","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","18.2055696","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","19.2191378","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","20.2340401","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","21.2454074","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","22.257586","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","23.2749607","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","24.2864353","0.015625","131403776","175763456","25","557"
"95feb454864907a29bcf84f629278dc861e10336","2","25.3020035","0.015625","131411968","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","2","26.3132589","0.015625","131416064","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","2","27.3272716","0.015625","131416064","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","2","28.3323711","0.015625","131416064","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","2","29.3463629","0.015625","131416064","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","2","30.3562162","0.015625","131416064","175722496","24","556"
"95feb454864907a29bcf84f629278dc861e10336","3","1.013692","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","2.0254414","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","3.0396404","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","4.0535509","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","5.0660853","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","6.0764992","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","7.0900691","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","8.1014991","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","9.1121477","0","131690496","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","10.1235388","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","11.1353832","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","12.1471949","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","13.1612019","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","14.1724987","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","15.1851005","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","16.1988826","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","17.2124271","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","18.2237724","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","19.236591","0.015625","131710976","176185344","25","557"
"95feb454864907a29bcf84f629278dc861e10336","3","20.2491211","0.03125","131710976","176185344","25","557"
